lago,fecha,indice,ruta_raster,metodo,formula_version,unidad,dtype,nodata,crs,resolucion_m,pixeles_validos,pixeles_lago,cobertura_valida_pct,quality_flag
amatitlan,2025-01-28,ndvi,,,ndvi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-01-28,ndwi,,,ndwi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-01-28,cianobacteria,,,cyano-ndci-l1c-v1-numeric,µg/L (proxy de clorofila-a; polinomio ajustado sobre dataset simulado),float32,nan,,,,,,pendiente_calculo
amatitlan,2025-04-15,ndvi,,,ndvi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-04-15,ndwi,,,ndwi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-04-15,cianobacteria,,,cyano-ndci-l1c-v1-numeric,µg/L (proxy de clorofila-a; polinomio ajustado sobre dataset simulado),float32,nan,,,,,,pendiente_calculo
amatitlan,2025-04-28,ndvi,,,ndvi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-04-28,ndwi,,,ndwi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-04-28,cianobacteria,,,cyano-ndci-l1c-v1-numeric,µg/L (proxy de clorofila-a; polinomio ajustado sobre dataset simulado),float32,nan,,,,,,pendiente_calculo
amatitlan,2025-11-24,ndvi,,,ndvi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-11-24,ndwi,,,ndwi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2025-11-24,cianobacteria,,,cyano-ndci-l1c-v1-numeric,µg/L (proxy de clorofila-a; polinomio ajustado sobre dataset simulado),float32,nan,,,,,,pendiente_calculo
amatitlan,2026-01-08,ndvi,,,ndvi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2026-01-08,ndwi,,,ndwi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2026-01-08,cianobacteria,,,cyano-ndci-l1c-v1-numeric,µg/L (proxy de clorofila-a; polinomio ajustado sobre dataset simulado),float32,nan,,,,,,pendiente_calculo
amatitlan,2026-02-02,ndvi,,,ndvi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
amatitlan,2026-02-02,ndwi,,,ndwi-v1,adimensional,float32,nan,,,,,,pendiente_calculo
