lago,fecha,satelite_oficial,nubosidad_oficial_pct,cobertura_valida_oficial_pct,west,east,south,north,producto,bandas,metodo_descarga,id_adquisicion,estado,ruta_local,cobertura_valida_pct,crs_salida,resolucion_salida,quality_flag,observaciones
amatitlan,2025-01-28,Sentinel-2B,0.06,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2025-04-15,Sentinel-2A,0.09,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2025-04-28,Sentinel-2B,1.03,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2025-11-24,Sentinel-2B,0.50,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2026-01-08,Sentinel-2C,0.77,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2026-02-02,Sentinel-2B,0.39,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2026-02-07,Sentinel-2C,0.02,57.1,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,cobertura_parcial_oficial,Fecha oficial incluida para completar 11 observaciones; cobertura válida parcial aproximada de 57.1 %.
amatitlan,2026-03-29,Sentinel-2C,0.01,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2026-04-13,Sentinel-2B,0.09,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2026-04-28,Sentinel-2C,4.96,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
amatitlan,2026-06-19,Sentinel-2A,13.00,,-90.638065,-90.512924,14.412347,14.493799,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2025-01-18,Sentinel-2B,0.02,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2025-04-13,Sentinel-2C,0.54,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2025-05-13,Sentinel-2C,4.37,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2025-07-17,Sentinel-2A,3.57,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2025-11-21,Sentinel-2A,3.15,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2025-12-29,Sentinel-2C,3.17,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2026-02-12,Sentinel-2B,0.04,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2026-03-24,Sentinel-2B,3.17,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2026-04-13,Sentinel-2B,0.01,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2026-04-28,Sentinel-2C,4.96,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
atitlan,2026-07-22,Sentinel-2B,4.02,,-91.326256,-91.07151,14.5948,14.750979,SENTINEL2_L2A,B03;B04;B08;SCL,openEO Copernicus Data Space,,pendiente,,,,,pendiente_descarga,
