lago,fecha,indice,metodo,coeficiente,p_value,n_pares,direccion,magnitud,quality_flag_cianobacteria,quality_flag_indice,nota_inferencia
amatitlan,2025-01-28,ndvi,pearson,0.03013112,3.02484e-30,143791,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-01-28,ndvi,spearman,0.07761494,5.9110017e-191,143791,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-01-28,ndwi,pearson,0.01486904,1.7146909e-08,143791,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-01-28,ndwi,spearman,0.00418045,0.11291878,143791,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-15,ndvi,pearson,0.80261172,<1e-300,139503,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-15,ndvi,spearman,0.82476383,<1e-300,139503,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-15,ndwi,pearson,-0.59185743,<1e-300,139503,negativa,fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-15,ndwi,spearman,-0.67057956,<1e-300,139503,negativa,fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-28,ndvi,pearson,0.85553131,<1e-300,139812,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-28,ndvi,spearman,0.88808874,<1e-300,139812,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-28,ndwi,pearson,-0.73312994,<1e-300,139812,negativa,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2025-04-28,ndwi,spearman,-0.85698657,<1e-300,139812,negativa,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
