modelo,metrica,con_ubicacion,sin_ubicacion,diferencia
regresion_logistica,recall,0.98377,0.983246,0.000524
regresion_logistica,precision,0.316011,0.22936,0.086651
regresion_logistica,f2,0.691521,0.593252,0.098269
regresion_logistica,roc_auc,0.996945,0.991052,0.005893
regresion_logistica,pr_auc,0.824194,0.545643,0.278551
random_forest,recall,0.971204,0.968063,0.003141
random_forest,precision,0.83785,0.790171,0.047679
random_forest,f2,0.941242,0.926353,0.014889
random_forest,roc_auc,0.999696,0.99947,0.000226
random_forest,pr_auc,0.979318,0.963979,0.015339
gradient_boosting,recall,0.975916,0.973822,0.002094
gradient_boosting,precision,0.891013,0.853603,0.03741
gradient_boosting,f2,0.957665,0.947143,0.010522
gradient_boosting,roc_auc,0.999827,0.99969,0.000137
gradient_boosting,pr_auc,0.987617,0.97827,0.009347
