variable,tipo,que_representa,por_que_contribuye,fuente
B03,banda espectral,"Reflectancia de superficie en la banda verde (L2A), promedio de la celda de 50 m",El agua con mas material en suspension/algas refleja distinto en verde que agua clara,Sentinel-2 L2A
B08,banda espectral,"Reflectancia de superficie en el infrarrojo cercano (L2A), promedio de la celda",El NIR es muy sensible a materia organica/algas en superficie del agua,Sentinel-2 L2A
ndwi,indice,(B03-B08)/(B03+B08); cuanto de agua limpia hay en la celda,Cianobacteria alta suele bajar el NDWI porque la superficie deja de verse como agua limpia,Calculado en el ejercicio 3 de la Parte I
x_utm,caracteristica espacial,"Coordenada este del centroide de la celda, EPSG:32615 (metros)",Permite al modelo capturar patrones espaciales que no explican las bandas por si solas,Calculado en el ejercicio 1
y_utm,caracteristica espacial,"Coordenada norte del centroide de la celda, EPSG:32615 (metros)",Igual que x_utm: posicion absoluta dentro del lago,Calculado en el ejercicio 1
mes,caracteristica temporal,Mes calendario (1-12) de la fecha de la escena,Aproxima variacion estacional de temperatura y lluvia que afecta el crecimiento algal,Derivado de la fecha oficial
dia_anio_sin,caracteristica temporal,Componente seno de la codificacion ciclica del dia del anio (dia 1-365/366),Evita el salto artificial que tendria el dia del anio como numero entero (31-dic lejos de 1-ene),Derivado de la fecha oficial
dia_anio_cos,caracteristica temporal,Componente coseno de la codificacion ciclica del dia del anio,"Junto con dia_anio_sin, da al modelo una nocion continua y ciclica de estacionalidad",Derivado de la fecha oficial
frac_valida,caracteristica de calidad,Fraccion de pixeles de 10 m validos dentro de la celda de 50 m (0.52-1.0),Una celda con menos pixeles validos promedia un area mas pequena y ruidosa; no deriva de la respuesta,Calculado en el ejercicio 1
ratio_B03_B08,derivada,B03/B08: contraste verde/infrarrojo cercano,"Sensible a material particulado y biomasa en superficie, de forma distinta a B03 o B08 por separado","Ingenieria de caracteristicas, ejercicio 3.3"
dist_orilla_m,derivada espacial,Distancia en metros de la celda al borde del contorno real (OSM) del lago,Las floraciones tienden a acumularse en orillas y bahias por menor mezcla y mas nutrientes cercanos a la costa,"Ingenieria de caracteristicas, ejercicio 3.3; contorno de data/raw/geojson/lago_<lago>_boundary.geojson"
dist_centroide_m,derivada espacial,Distancia en metros de la celda al centroide del contorno real del lago,"Proxy de zona central (mas profunda, mas mezclada) vs. periferica","Ingenieria de caracteristicas, ejercicio 3.3"
ndwi_vecindad_3x3,derivada espacial,"Promedio de ndwi en la vecindad de 3x3 celdas de 50 m alrededor de esta celda, misma fecha",Captura textura/contexto local en vez de tratar cada celda como independiente de sus vecinas,"Ingenieria de caracteristicas, ejercicio 3.3"
lago_amatitlan,categorica (one-hot),"1 si la observacion pertenece al lago amatitlan, si no 0",Los dos lagos difieren en profundidad y presion urbana; permite al modelo separar su comportamiento base,One-hot de la columna lago
lago_atitlan,categorica (one-hot),"1 si la observacion pertenece al lago atitlan, si no 0",Los dos lagos difieren en profundidad y presion urbana; permite al modelo separar su comportamiento base,One-hot de la columna lago
estacion_lluviosa,categorica (one-hot),"1 si la fecha cae en estacion lluviosa, si no 0",La epoca lluviosa puede arrastrar mas nutrientes hacia el lago,One-hot de estacion (config.MESES_ESTACION_SECA/LLUVIOSA)
estacion_seca,categorica (one-hot),"1 si la fecha cae en estacion seca, si no 0",La epoca lluviosa puede arrastrar mas nutrientes hacia el lago,One-hot de estacion (config.MESES_ESTACION_SECA/LLUVIOSA)
