corte,lago,fecha,cyano_alta,n,pct
global,,,0,486312,98.7081
global,,,1,6365,1.2919
por_lago,amatitlan,,0,54284,89.5155
por_lago,amatitlan,,1,6358,10.4845
por_lago,atitlan,,0,432028,99.9984
por_lago,atitlan,,1,7,0.0016
por_fecha,amatitlan,2025-01-28,0,5616,100.0
por_fecha,amatitlan,2025-01-28,1,0,0.0
por_fecha,amatitlan,2025-04-15,0,5546,99.587
por_fecha,amatitlan,2025-04-15,1,23,0.413
por_fecha,amatitlan,2025-04-28,0,5204,93.0282
por_fecha,amatitlan,2025-04-28,1,390,6.9718
por_fecha,amatitlan,2025-11-24,0,5501,98.4431
por_fecha,amatitlan,2025-11-24,1,87,1.5569
por_fecha,amatitlan,2026-01-08,0,5258,93.8091
por_fecha,amatitlan,2026-01-08,1,347,6.1909
por_fecha,amatitlan,2026-02-02,0,5453,100.0
por_fecha,amatitlan,2026-02-02,1,0,0.0
por_fecha,amatitlan,2026-02-07,0,5333,100.0
por_fecha,amatitlan,2026-02-07,1,0,0.0
por_fecha,amatitlan,2026-03-29,0,5194,92.5187
por_fecha,amatitlan,2026-03-29,1,420,7.4813
por_fecha,amatitlan,2026-04-13,0,5408,96.0568
por_fecha,amatitlan,2026-04-13,1,222,3.9432
por_fecha,amatitlan,2026-04-28,0,3375,65.369
por_fecha,amatitlan,2026-04-28,1,1788,34.631
por_fecha,amatitlan,2026-06-19,0,2396,43.7466
por_fecha,amatitlan,2026-06-19,1,3081,56.2534
por_fecha,atitlan,2025-01-18,0,8994,100.0
por_fecha,atitlan,2025-01-18,1,0,0.0
por_fecha,atitlan,2025-04-13,0,48683,100.0
por_fecha,atitlan,2025-04-13,1,0,0.0
por_fecha,atitlan,2025-05-13,0,47075,100.0
por_fecha,atitlan,2025-05-13,1,0,0.0
por_fecha,atitlan,2025-07-17,0,41496,99.9952
por_fecha,atitlan,2025-07-17,1,2,0.0048
por_fecha,atitlan,2025-11-21,0,24073,99.9875
por_fecha,atitlan,2025-11-21,1,3,0.0125
por_fecha,atitlan,2025-12-29,0,35036,99.9943
por_fecha,atitlan,2025-12-29,1,2,0.0057
por_fecha,atitlan,2026-02-12,0,37280,100.0
por_fecha,atitlan,2026-02-12,1,0,0.0
por_fecha,atitlan,2026-03-24,0,48565,100.0
por_fecha,atitlan,2026-03-24,1,0,0.0
por_fecha,atitlan,2026-04-13,0,48354,100.0
por_fecha,atitlan,2026-04-13,1,0,0.0
por_fecha,atitlan,2026-04-28,0,48559,100.0
por_fecha,atitlan,2026-04-28,1,0,0.0
por_fecha,atitlan,2026-07-22,0,43913,100.0
por_fecha,atitlan,2026-07-22,1,0,0.0
