lago,fecha,n_pixeles,min,p01,p05,q25,mediana,media,q75,p95,p99,max,desviacion_std,quality_flag,criterio_seleccion
amatitlan,2025-01-28,143791,-100.75547028,3.47988057,3.84183788,4.2769537,4.48938131,4.4333298,4.63358784,4.80220032,5.02180977,16.33076859,0.55921224,calculado,referencia_primera_fecha_completa
amatitlan,2025-04-15,139503,-58.8970108,2.91280814,3.21282754,3.54778755,4.59359884,4.50998863,5.09757113,6.38455997,9.02193569,18.32629967,1.2335458,calculado,
amatitlan,2025-04-28,139812,-32.96726608,3.07223709,3.54703529,4.07798851,4.88425183,5.71576093,6.33800387,11.15969815,16.74723288,29.7557869,2.69121669,calculado,
amatitlan,2025-11-24,142654,-24.52007866,2.35085277,2.89483677,3.56771773,4.00604415,4.28407313,4.533409,5.91779852,12.26618569,56.50071335,2.0417518,calculado,
amatitlan,2026-01-08,140349,-24.57249069,3.59089527,4.11759062,4.72476673,4.89155388,5.80708246,5.16692781,10.94567146,25.2286615,68.48379517,3.71109784,calculado,
amatitlan,2026-02-02,136440,-167.08757019,3.37575208,3.65564361,4.01106536,4.42393494,4.29705997,4.58440769,4.75276363,4.87561521,9.13276482,0.61630001,calculado,
amatitlan,2026-02-07,143527,-94.74979401,3.3009097,3.53217545,4.00185037,4.45663023,4.30056419,4.63664818,4.77816577,4.91021704,10.1627655,0.5773042,cobertura_parcial_oficial,
amatitlan,2026-03-29,140681,-130.52542114,4.04542332,4.52681494,4.93707085,5.25673008,6.4473384,5.91748381,15.59441948,25.73346062,45.33265305,3.93230579,calculado,
amatitlan,2026-04-13,140873,-12.30163002,5.01498755,5.25376625,5.76615191,6.44096231,6.78351798,7.23564339,9.7525631,12.43187195,41.0100708,1.49990101,calculado,fecha_comun_entre_lagos
amatitlan,2026-04-28,129097,-51.14030838,3.77327102,3.92558837,4.22596025,6.28155327,9.45927211,13.90167713,23.82638283,29.37451538,35.38667297,6.76456645,calculado,
amatitlan,2026-06-19,141050,-48.93188095,4.72335482,4.97648456,6.26678836,10.73048067,11.31675419,14.54194808,21.3448926,31.62344254,54.23194885,5.78617971,calculado,mayor_extension;pico_promedio_temporal
atitlan,2025-01-18,1204232,-69.7146759,-2.07642297,-1.22204511,-0.23906992,0.36777355,0.34580027,0.93298367,1.81184628,2.96943511,20.13575745,1.05555518,revisar_valores_atipicos,
atitlan,2025-04-13,1218498,-102.20973206,0.40563082,0.85494335,1.38726208,1.75045496,1.78112063,2.14489728,2.82182699,3.49001132,16.81774902,0.67439015,calculado,referencia_primera_fecha_completa
atitlan,2025-05-13,1217531,-149.47563171,-0.79677386,-0.21467537,0.58780533,1.28188372,1.29044532,2.00407469,2.79033053,3.45418043,14.18323898,1.00518362,calculado,
atitlan,2025-07-17,1162816,-264.40426636,-1.97631197,-0.74194816,0.43292517,1.1832118,1.08882373,1.8520152,2.8058151,3.75845282,93.11408997,1.63245018,revisar_valores_atipicos,
atitlan,2025-11-21,1212957,-125.27409363,-2.33599545,-1.42907205,-0.37535536,0.26526645,0.24966103,0.8781898,1.82593925,3.16106533,78.66078186,1.14263328,revisar_valores_atipicos,
atitlan,2025-12-29,1217026,-107.34590149,-1.57860169,-0.89316271,-0.0584455,0.48964727,0.49777034,1.02308208,1.92863843,3.09641373,20.70393753,1.01443603,revisar_valores_atipicos,
atitlan,2026-02-12,1213381,-66.22162628,-0.95907564,-0.31031001,0.43759248,0.9081257,0.90309644,1.36281586,2.08094764,3.00790472,15.86486244,0.82430358,revisar_valores_atipicos,
atitlan,2026-03-24,1218939,-1017.92901611,-0.31788632,0.21673439,0.84453899,1.2504555,1.25999811,1.66027129,2.39233234,3.21023674,13.35143852,2.49340533,calculado,
atitlan,2026-04-13,1216030,-56.5193367,-0.24499308,0.62503725,1.64029583,2.19872069,2.12534657,2.72093922,3.34232343,3.71896651,14.06202793,0.89900863,calculado,fecha_comun_entre_lagos;pico_promedio_temporal
atitlan,2026-04-28,1214975,-59.18436813,0.118508,0.59748588,1.2747882,1.89335394,1.85493707,2.4093188,3.09587131,3.72249495,10.70928097,0.83128695,calculado,
atitlan,2026-07-22,1212296,-1017.92901611,-1.44266742,-0.62572715,0.39396323,1.1188615,1.12473395,1.89364493,2.82737726,3.62035084,21.84898567,2.17617486,revisar_valores_atipicos,mayor_extension
