lago,fecha,zona,n_prueba,positivos_reales,probabilidad_media,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos,tasa_error,tasa_falsos_positivos,tasa_falsos_negativos
amatitlan,2025-01-28,interior_mas_1000m,1,0,1e-06,1,0,0,0,0.0,0.0,indefinido
amatitlan,2025-01-28,intermedia_250_1000m,808,0,6e-06,808,0,0,0,0.0,0.0,indefinido
amatitlan,2025-01-28,orilla_0_250m,914,0,7e-06,914,0,0,0,0.0,0.0,indefinido
amatitlan,2025-04-15,interior_mas_1000m,1,0,0.000218,1,0,0,0,0.0,0.0,indefinido
amatitlan,2025-04-15,intermedia_250_1000m,805,7,0.0144,794,4,0,7,0.004969,0.005013,0.0
amatitlan,2025-04-15,orilla_0_250m,885,2,0.00507,881,2,1,1,0.00339,0.002265,0.5
amatitlan,2025-04-28,interior_mas_1000m,1,0,0.000113,1,0,0,0,0.0,0.0,indefinido
amatitlan,2025-04-28,intermedia_250_1000m,816,35,0.064728,763,18,4,31,0.026961,0.023047,0.114286
amatitlan,2025-04-28,orilla_0_250m,886,95,0.17144,740,51,2,93,0.059819,0.064475,0.021053
amatitlan,2025-11-24,interior_mas_1000m,2,0,3e-06,2,0,0,0,0.0,0.0,indefinido
amatitlan,2025-11-24,intermedia_250_1000m,785,3,0.007608,778,4,1,2,0.006369,0.005115,0.333333
amatitlan,2025-11-24,orilla_0_250m,928,20,0.023629,905,3,0,20,0.003233,0.003304,0.0
amatitlan,2026-01-08,interior_mas_1000m,3,0,4e-06,3,0,0,0,0.0,0.0,indefinido
amatitlan,2026-01-08,intermedia_250_1000m,818,52,0.071395,758,8,2,50,0.012225,0.010444,0.038462
amatitlan,2026-01-08,orilla_0_250m,895,53,0.062947,837,5,2,51,0.007821,0.005938,0.037736
amatitlan,2026-02-02,interior_mas_1000m,1,0,2.7e-05,1,0,0,0,0.0,0.0,indefinido
amatitlan,2026-02-02,intermedia_250_1000m,722,0,0.000123,722,0,0,0,0.0,0.0,indefinido
amatitlan,2026-02-02,orilla_0_250m,825,0,0.000182,825,0,0,0,0.0,0.0,indefinido
amatitlan,2026-02-07,interior_mas_1000m,2,0,3e-06,2,0,0,0,0.0,0.0,indefinido
amatitlan,2026-02-07,intermedia_250_1000m,739,0,4e-06,739,0,0,0,0.0,0.0,indefinido
amatitlan,2026-02-07,orilla_0_250m,845,0,8e-06,845,0,0,0,0.0,0.0,indefinido
amatitlan,2026-03-29,interior_mas_1000m,1,0,8.3e-05,1,0,0,0,0.0,0.0,indefinido
amatitlan,2026-03-29,intermedia_250_1000m,785,51,0.068863,732,2,0,51,0.002548,0.002725,0.0
amatitlan,2026-03-29,orilla_0_250m,904,64,0.076101,834,6,4,60,0.011062,0.007143,0.0625
amatitlan,2026-04-13,interior_mas_1000m,3,0,1.7e-05,3,0,0,0,0.0,0.0,indefinido
amatitlan,2026-04-13,intermedia_250_1000m,774,12,0.014219,759,3,5,7,0.010336,0.003937,0.416667
amatitlan,2026-04-13,orilla_0_250m,942,63,0.085518,859,20,6,57,0.027601,0.022753,0.095238
amatitlan,2026-04-28,interior_mas_1000m,1,0,9e-06,1,0,0,0,0.0,0.0,indefinido
amatitlan,2026-04-28,intermedia_250_1000m,755,229,0.311251,519,7,3,226,0.013245,0.013308,0.0131
amatitlan,2026-04-28,orilla_0_250m,785,297,0.395502,467,21,6,291,0.034395,0.043033,0.020202
amatitlan,2026-06-19,interior_mas_1000m,2,2,0.999719,0,0,0,2,0.0,indefinido,0.0
amatitlan,2026-06-19,intermedia_250_1000m,779,499,0.658759,265,15,4,495,0.02439,0.053571,0.008016
amatitlan,2026-06-19,orilla_0_250m,848,426,0.568717,364,58,6,420,0.075472,0.137441,0.014085
atitlan,2025-01-18,interior_mas_1000m,1987,0,1e-06,1987,0,0,0,0.0,0.0,indefinido
atitlan,2025-01-18,intermedia_250_1000m,390,0,1e-06,390,0,0,0,0.0,0.0,indefinido
atitlan,2025-01-18,orilla_0_250m,313,0,4e-06,313,0,0,0,0.0,0.0,indefinido
atitlan,2025-04-13,interior_mas_1000m,7897,0,0.0,7897,0,0,0,0.0,0.0,indefinido
atitlan,2025-04-13,intermedia_250_1000m,4589,0,1e-06,4589,0,0,0,0.0,0.0,indefinido
atitlan,2025-04-13,orilla_0_250m,2011,0,2e-06,2011,0,0,0,0.0,0.0,indefinido
atitlan,2025-05-13,interior_mas_1000m,7555,0,1e-06,7555,0,0,0,0.0,0.0,indefinido
atitlan,2025-05-13,intermedia_250_1000m,4643,0,3e-06,4643,0,0,0,0.0,0.0,indefinido
atitlan,2025-05-13,orilla_0_250m,2064,0,6e-06,2064,0,0,0,0.0,0.0,indefinido
atitlan,2025-07-17,interior_mas_1000m,6672,0,4e-06,6672,0,0,0,0.0,0.0,indefinido
atitlan,2025-07-17,intermedia_250_1000m,4033,0,8e-06,4033,0,0,0,0.0,0.0,indefinido
atitlan,2025-07-17,orilla_0_250m,1674,0,0.00012,1674,0,0,0,0.0,0.0,indefinido
