lago,fecha,umbral_alto_ugl,resolucion_m,area_pixel_m2,pixeles_validos_lago,pixeles_altos,area_valida_m2,area_alta_m2,porcentaje_alto,cobertura_valida_pct,quality_flag
amatitlan,2025-01-28,10.0,10.0,100.0,144693,11,14469300.0,1100.0,0.0076,11.751,calculado
amatitlan,2025-04-15,10.0,10.0,100.0,143376,933,14337600.0,93300.0,0.6507,11.6167,calculado
amatitlan,2025-04-28,10.0,10.0,100.0,143348,10646,14334800.0,1064600.0,7.4267,11.6173,calculado
amatitlan,2025-11-24,10.0,10.0,100.0,144566,2929,14456600.0,292900.0,2.0261,11.6998,calculado
amatitlan,2026-01-08,10.0,10.0,100.0,144419,10729,14441900.0,1072900.0,7.4291,11.7581,calculado
amatitlan,2026-02-02,10.0,10.0,100.0,142415,2,14241500.0,200.0,0.0014,11.5348,calculado
amatitlan,2026-02-07,10.0,10.0,100.0,144515,33,14451500.0,3300.0,0.0228,11.7192,cobertura_parcial_oficial
amatitlan,2026-03-29,10.0,10.0,100.0,144892,11145,14489200.0,1114500.0,7.6919,11.7492,calculado
amatitlan,2026-04-13,10.0,10.0,100.0,145470,6334,14547000.0,633400.0,4.3542,11.804,calculado
amatitlan,2026-04-28,10.0,10.0,100.0,137631,49963,13763100.0,4996300.0,36.3021,11.2027,calculado
amatitlan,2026-06-19,10.0,10.0,100.0,144973,78862,14497300.0,7886200.0,54.3977,11.7579,calculado
atitlan,2025-01-18,10.0,10.0,100.0,1225592,422,122559200.0,42200.0,0.0344,25.5899,revisar_valores_atipicos
atitlan,2025-04-13,10.0,10.0,100.0,1220991,13,122099100.0,1300.0,0.0011,25.282,calculado
atitlan,2025-05-13,10.0,10.0,100.0,1220829,26,122082900.0,2600.0,0.0021,25.2796,calculado
atitlan,2025-07-17,10.0,10.0,100.0,1165986,536,116598600.0,53600.0,0.046,24.1457,revisar_valores_atipicos
atitlan,2025-11-21,10.0,10.0,100.0,1222442,633,122244200.0,63300.0,0.0518,25.3667,revisar_valores_atipicos
atitlan,2025-12-29,10.0,10.0,100.0,1224029,381,122402900.0,38100.0,0.0311,25.5996,revisar_valores_atipicos
atitlan,2026-02-12,10.0,10.0,100.0,1221877,209,122187700.0,20900.0,0.0171,25.3465,revisar_valores_atipicos
atitlan,2026-03-24,10.0,10.0,100.0,1221332,15,122133200.0,1500.0,0.0012,25.2909,calculado
atitlan,2026-04-13,10.0,10.0,100.0,1218250,15,121825000.0,1500.0,0.0012,25.2239,calculado
atitlan,2026-04-28,10.0,10.0,100.0,1218269,6,121826900.0,600.0,0.0005,25.2235,calculado
atitlan,2026-07-22,10.0,10.0,100.0,1215986,1267,121598600.0,126700.0,0.1042,25.1764,revisar_valores_atipicos
