seccion,lago,fecha,variable,tipo,n_observaciones,pct_faltantes
total,,,,,492677,
por_lago,amatitlan,,,,60642,
por_lago,atitlan,,,,432035,
por_fecha,amatitlan,2025-01-28,,,5616,
por_fecha,amatitlan,2025-04-15,,,5569,
por_fecha,amatitlan,2025-04-28,,,5594,
por_fecha,amatitlan,2025-11-24,,,5588,
por_fecha,amatitlan,2026-01-08,,,5605,
por_fecha,amatitlan,2026-02-02,,,5453,
por_fecha,amatitlan,2026-02-07,,,5333,
por_fecha,amatitlan,2026-03-29,,,5614,
por_fecha,amatitlan,2026-04-13,,,5630,
por_fecha,amatitlan,2026-04-28,,,5163,
por_fecha,amatitlan,2026-06-19,,,5477,
por_fecha,atitlan,2025-01-18,,,8994,
por_fecha,atitlan,2025-04-13,,,48683,
por_fecha,atitlan,2025-05-13,,,47075,
por_fecha,atitlan,2025-07-17,,,41498,
por_fecha,atitlan,2025-11-21,,,24076,
por_fecha,atitlan,2025-12-29,,,35038,
por_fecha,atitlan,2026-02-12,,,37280,
por_fecha,atitlan,2026-03-24,,,48565,
por_fecha,atitlan,2026-04-13,,,48354,
por_fecha,atitlan,2026-04-28,,,48559,
por_fecha,atitlan,2026-07-22,,,43913,
variable,,,lago,object,492677,0.0
variable,,,fecha,object,492677,0.0
variable,,,x_utm,float64,492677,0.0
variable,,,y_utm,float64,492677,0.0
variable,,,lon,float64,492677,0.0
variable,,,lat,float64,492677,0.0
variable,,,B03,float32,492677,0.0
variable,,,B04,float32,492677,0.0
variable,,,B08,float32,492677,0.0
variable,,,ndvi,float32,492677,0.0
variable,,,ndwi,float32,492677,0.0
variable,,,cianobacteria_ugl,float32,492677,0.0
variable,,,n_pixeles_validos,int16,492677,0.0
variable,,,frac_valida,float32,492677,0.0
