lago,fecha,indice,tipo_mapa,archivo,formato,vmin,vmax,umbral_alto_ugl,generado_en
atitlan,2025-01-18,cianobacteria,individual,results/maps/atitlan_2025-01-18_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:05
atitlan,2025-04-13,cianobacteria,individual,results/maps/atitlan_2025-04-13_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:05
atitlan,2025-05-13,cianobacteria,individual,results/maps/atitlan_2025-05-13_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:06
atitlan,2025-07-17,cianobacteria,individual,results/maps/atitlan_2025-07-17_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:07
atitlan,2025-11-21,cianobacteria,individual,results/maps/atitlan_2025-11-21_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:07
atitlan,2025-12-29,cianobacteria,individual,results/maps/atitlan_2025-12-29_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:08
atitlan,2026-02-12,cianobacteria,individual,results/maps/atitlan_2026-02-12_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:08
atitlan,2026-03-24,cianobacteria,individual,results/maps/atitlan_2026-03-24_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:09
atitlan,2026-04-13,cianobacteria,individual,results/maps/atitlan_2026-04-13_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:09
atitlan,2026-04-28,cianobacteria,individual,results/maps/atitlan_2026-04-28_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:10
atitlan,2026-07-22,cianobacteria,individual,results/maps/atitlan_2026-07-22_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:10
amatitlan,2025-01-28,cianobacteria,individual,results/maps/amatitlan_2025-01-28_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:11
amatitlan,2025-04-15,cianobacteria,individual,results/maps/amatitlan_2025-04-15_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:11
amatitlan,2025-04-28,cianobacteria,individual,results/maps/amatitlan_2025-04-28_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:11
amatitlan,2025-11-24,cianobacteria,individual,results/maps/amatitlan_2025-11-24_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:11
amatitlan,2026-01-08,cianobacteria,individual,results/maps/amatitlan_2026-01-08_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:11
amatitlan,2026-02-02,cianobacteria,individual,results/maps/amatitlan_2026-02-02_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:12
amatitlan,2026-02-07,cianobacteria,individual,results/maps/amatitlan_2026-02-07_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:12
amatitlan,2026-03-29,cianobacteria,individual,results/maps/amatitlan_2026-03-29_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:12
amatitlan,2026-04-13,cianobacteria,individual,results/maps/amatitlan_2026-04-13_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:12
amatitlan,2026-04-28,cianobacteria,individual,results/maps/amatitlan_2026-04-28_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:13
amatitlan,2026-06-19,cianobacteria,individual,results/maps/amatitlan_2026-06-19_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:13
atitlan,2026-03-24;2026-04-13,cianobacteria,comparativo,results/maps/atitlan_comparativo_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:15
amatitlan,2026-02-02;2026-06-19;2026-04-13,cianobacteria,comparativo,results/maps/amatitlan_comparativo_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:16
atitlan;amatitlan,2026-04-13,cianobacteria,comparativo_entre_lagos,results/maps/comparacion_lagos_2026-04-13_cianobacteria.png,png,0.0,10.0,,2026-08-14T08:50:17.707173
atitlan,2025-01-18;2025-04-13;2025-05-13;2025-07-17;2025-11-21;2025-12-29;2026-02-12;2026-03-24;2026-04-13;2026-04-28;2026-07-22,cianobacteria,interactivo,results/maps/atitlan_interactivo.html,html,0.0,10.0,,2026-08-14T08:50:20
amatitlan,2025-01-28;2025-04-15;2025-04-28;2025-11-24;2026-01-08;2026-02-02;2026-02-07;2026-03-29;2026-04-13;2026-04-28;2026-06-19,cianobacteria,interactivo,results/maps/amatitlan_interactivo.html,html,0.0,10.0,,2026-08-14T08:50:21
