pliegue,n_bloques_prueba,modelo,n_prueba,positivos_prueba,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
0,52,regresion_logistica,98534,1018,0.971898,0.267957,0.993124,0.422041,0.644359,0.997438,0.811387,94754,2762,7,1011
1,53,regresion_logistica,98531,1104,0.971897,0.284047,0.991848,0.441621,0.661951,0.99661,0.813503,94667,2760,9,1095
2,52,regresion_logistica,98535,1688,0.979124,0.448793,0.957938,0.611227,0.780782,0.996504,0.869594,94861,1986,71,1617
3,52,regresion_logistica,98532,1368,0.975937,0.364861,0.989766,0.533176,0.737232,0.997284,0.840893,94807,2357,14,1354
4,54,regresion_logistica,98531,1187,0.965239,0.257267,0.999158,0.409177,0.633682,0.997042,0.812766,93920,3424,1,1186
0,52,random_forest,98534,1018,0.997209,0.812974,0.947937,0.875283,0.917475,0.999404,0.945273,97294,222,53,965
1,53,random_forest,98531,1104,0.997087,0.830769,0.929348,0.877298,0.907804,0.9995,0.961297,97218,209,78,1026
2,52,random_forest,98535,1688,0.996935,0.90669,0.915284,0.910967,0.913553,0.998622,0.976087,96688,159,143,1545
3,52,random_forest,98532,1368,0.996732,0.827284,0.966374,0.891436,0.934936,0.999479,0.962822,96888,276,46,1322
4,54,random_forest,98531,1187,0.99594,0.788701,0.905644,0.843137,0.879561,0.999096,0.932801,97056,288,112,1075
0,52,gradient_boosting,98534,1018,0.997919,0.860692,0.952849,0.904429,0.932872,0.999521,0.973001,97359,157,48,970
1,53,gradient_boosting,98531,1104,0.997737,0.867389,0.942029,0.90317,0.926091,0.999594,0.970893,97268,159,64,1040
2,52,gradient_boosting,98535,1688,0.997219,0.912005,0.927133,0.919506,0.924067,0.999603,0.981891,96696,151,123,1565
3,52,gradient_boosting,98532,1368,0.996945,0.844861,0.955409,0.896741,0.931044,0.999577,0.97072,96924,240,61,1307
4,54,gradient_boosting,98531,1187,0.996529,0.814126,0.922494,0.864929,0.898572,0.999151,0.94933,97094,250,92,1095
